rid,用户名称,微博等级,微博内容,微博转发量,微博评论量,微博点赞,发布时间,搜索关键词,话题名称,话题讨论数,话题阅读数
1,易胜华律师,金v,"#禁止堕胎#

预言灵验了…… 北京·百子湾",42,76,1077,2022/2/10,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
2,dongyule74,普通用户,"#禁止堕胎# #家庭计划#

这就是禁止堕胎的原因吗？政府真认为这样今年的出生人口会接近2000万吗？如果真是为了百姓的生育健康着想，就应该从小学阶段就进行性教育和避孕教育，药店布置免费避孕套和避孕药。而不是把生育的责任推给未成年和年轻未婚女性。政府认为单亲家庭的社会成本会比低生育率小吗？
...全文",0,0,0,2022/2/12,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
3,北京李莎律师事务所,普通用户,#计生协将开展未婚人群人流干预专项行动# 干预未婚人工流产，在没有建立起对产妇、孩子的一系列保障（如产检、户口、养育等）之前，“干预”两个字就是QJ。#禁止堕胎#,0,0,11,2022/2/10,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
4,幻象星成,普通用户,#禁止堕胎#坚决反对，我不喜欢带套，反正怀了也能打。不能打的话，那不就赖上我了吗？,0,0,1,2022/2/10,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
5,fish199002,黄v,#禁止堕胎#未来立法禁止堕胎也不是不可能，2021年中国预计出生人口在900万左右，而2021年中国高校毕业生是909万，也就是说这些孩子未来一个不落，都能升大学，真正的做到“一个都不能少”想一想就替他们开心，因为我们80.90后从小学一路走来像玩鱿鱼游戏一样，从小学的千人大军，最终只有区区几人能步 ...全文,21,12,15,2021/9/27,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
6,祖传八字算命,普通用户,"巨蟹座

巨蟹座个人比较拘谨，他们做任何事情都是小心翼翼，生怕自己做错，在感情中也是如此，他们考虑的事情比较多，不知道对方是否真心，不知道这段感情能走多久，也不知道两人是否能够共度余生，但当两个人确认关系后，巨蟹座就会把自己真实的一面表现出来了，情侣之间更加和谐，巨蟹座时常也很幽默 ...全文",0,0,0,2021/8/20,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
8,Tat_Ho謝,普通用户,任何人都无权终止生命，包括小生命。#禁止堕胎#,0,0,1,2012/8/16,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
9,总是在自说自话,普通用户,#禁止堕胎#笑了，女性还被指责堕胎了？？？男的没有资格指手画脚女性堕胎，只有女性才有子宫，谢谢,2,6,8,2021/1/20,禁止堕胎,#禁止堕胎#,1732讨论,196.6万阅读
11,世面,蓝v,【#美国法案禁止性侵受害者堕胎# 部分民众抗议该法案】5月14日，美国阿拉巴马州议会通过#美国最严反堕胎法案#，禁止任何阶段的怀孕者堕胎，被性侵怀孕、乱伦怀孕者也不例外，当且仅当需要挽救孕妇生命时，堕胎才能得到许可。目前法案已提交给州长，州长同意后，法案将于六个月后正式生效。 ...全文,8747,2.4,1.3万,2019/5/15,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
12,阿詹Ganglha-Khandro,金v,#美国法案禁止性侵受害者堕胎#一种该来的终于来了的感觉。。。女州长是反对堕胎的保守派应该会签字，ACLU已表示准备好了起诉该法案违宪，阿拉巴马州议员已表示准备好了把官司打到最高法院，而保守派早已把“骑墙派”大法官做决定的最高法院，变成了保守派优势法院，大家都准备好了。。一场大戏,76,164,723,2019/5/16,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
13,小蚂蚁9803,普通用户,"#美国法案禁止性侵受害者堕胎##美国最严反堕胎法案#
前提是:是否有足够保障，使受害者降低伤害，并得到相关的合法保护与支持。法律的本质是使人民得到安全。 如何看待美国法案禁止性侵受害者堕胎？你认为还有人权可言吗?",0,12,8,2022/7/10,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
14,杨博俊,黄v,自由过了火#美国法案禁止性侵受害者堕胎#,0,0,0,2020/2/19,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
15,范羿鸣_,普通用户,总比强行绝育，强行流产引产要人道的多！以前在农村经常有这样的标语:流下来，引出来，就是不能生出来！甚至还有该流不流，扒房牵牛的恐怖标语。#美国法案禁止性侵受害者堕胎##美国最严反堕胎法案# 如何看待美国法案禁止性侵受害者堕胎？你认为还有人权可言吗?,0,2,2,2019/12/23,禁止堕胎,#美国法案禁止性侵受害者堕胎#,56000讨论,23000万阅读
