,话题,话题热点词个数,评论量,阅读量(万),讨论量
0,#禁止堕胎#,1.0,94.0,196.6,1732.0
2,#美阿肯色州通过全面禁止堕胎法案#,1.0,65.0,217.9,267.0
3,#美国阿肯色州通过全面禁止堕胎法案#,1.0,169.0,162.0,408.0
4,#得州检测到胎心后禁止堕胎#,1.0,18.0,271.6,291.0
5,#波兰新法律几乎完全禁止堕胎#,0.75,41.0,318.2,285.0
6,#美国德州禁止堕胎法生效#,1.0,206.0,86.8,202.0
7,#美国禁止堕胎#,1.0,4.0,63.1,521.0
8,#美国得州通过法案测到胎心后禁止堕胎#,1.0,7.0,38.1,11.0
9,#美国20余州预计将禁止或严格限制堕胎#,0.5,157.0,249.9,118.0
10,#全美或有22州将禁止或限制堕胎#,0.75,83.0,222.4,134.0
11,#美国约半数州或将禁止堕胎#,0.75,66.0,111.9,53.0
12,#密苏里州成为美国首个禁止堕胎州#,0.8,151.0,165.8,60.0
13,#美国爱达荷州拟禁止一切堕胎#,1.0,402.0,326.8,1773.0
14,#美高院推翻堕胎权后9州禁止堕胎#,0.8333333333333334,241.0,98.8,108.0
15,#美国22州将禁止堕胎#,0.75,246.0,102.1,108.0
16,#美国得州禁止怀孕6周以上女性堕胎#,1.0,59.0,104.0,147.0
17,#美13个州已启动禁止堕胎法律流程#,0.7142857142857143,4.0,9.9,11.0
18,#科技公司会成美国禁止堕胎的帮凶吗#,0.7142857142857143,5.0,18.1,4.0
19,#美约半数州或将禁止堕胎#,0.5,6.0,39.4,30.0
20,#美国第一个实际禁止堕胎的州#,1.0,6.0,2.8,5.0
21,#美媒称全美或有22州将禁止或限制堕胎#,0.6,7.0,14.6,5.0
22,#美国近一半州预计会禁止堕胎#,0.6,5.0,11.5,3.0
23,#美国11个州禁止或限制堕胎#,0.8,0.0,13.1,4.0
24,#全美共有22个州将禁止或限制堕胎#,0.6666666666666666,1.0,1.7,1.0
25,#得州最严堕胎法被临时禁止#,0.6,46.0,40.0,21.0
