rid,用户名称,微博等级,微博内容,微博转发量,微博评论量,微博点赞,发布时间,搜索关键词,话题名称,话题讨论数,话题阅读数
1,央视网快看,蓝v,【美国媒体称#枪支管控问题已成美国党派之争#】#美国为何不解决枪支暴力问题# 枪支暴力问题已成美国社会的顽疾，然而过去数十年来，人们没有看到美国政府在解决枪支暴力问题上采取任何实质举措。由于两党在是否实行枪支限制措施上存在分歧，经常导致法案走向僵局。康涅狄格州州长、民主党人拉蒙特认为 ...全文,2,4,11,2022/5/27,枪支管控,#枪支管控问题已成美国党派之争#,31讨论,57万阅读
2,美国侨报网视频,蓝v,"【#读解美国头条# 】美韩发射8枚弹道导弹 上周末枪声仍频
美国和韩国6月6日向大海方向发射8枚弹道导弹，展示了与前一天朝鲜发射导弹相同的武力。
田纳西州、弗吉尼亚州、亚利桑那州和南卡罗来纳州上周末均发生了枪击案事件，造成多人死亡，数十人受伤。#美韩发射8枚弹道导弹# ...全文",0,0,0,2022/6/7,枪支管控,#枪支管控问题已成美国党派之争#,31讨论,57万阅读
3,湖北之声,蓝v,#焦点时刻# 【美国媒体称#枪支管控问题已成美国党派之争#】#美国为何不解决枪支暴力问题# 枪支暴力问题已成美国社会的顽疾，然而过去数十年来，人们没有看到美国政府在解决枪支暴力问题上采取任何实质举措。由于两党在是否实行枪支限制措施上存在分歧，经常导致法案走向僵局。康涅狄格州州长、民主党人 ...全文,0,0,0,2022/5/28,枪支管控,#枪支管控问题已成美国党派之争#,31讨论,57万阅读
5,新浪热点,蓝v,【美国媒体称#枪支管控问题已成美国党派之争#】 枪支暴力问题已成美国社会的顽疾，然而过去数十年来，人们没有看到美国政府在解决枪支暴力问题上采取任何实质举措。由于两党在是否实行枪支限制措施上存在分歧，经常导致法案走向僵局。康涅狄格州州长、民主党人拉蒙特认为，现在枪支管控在美国已经成为 ...全文,0,2,10,2022/5/27,枪支管控,#枪支管控问题已成美国党派之争#,31讨论,57万阅读
7,新华网,蓝v,"#今年以来美国超1.9万人死于枪支暴力#【#美国各地民众集会要求政府应对枪支暴力问题#】美国各地民众11日举行集会示威，要求政府和政客应对枪支暴力问题、加强保护儿童生命安全。

　　示威活动由倡议加强枪支管控的社会活动团体“为我们的生命游行”组织。据该团体介绍，集会在华盛顿、纽约、芝加哥、丹佛、圣安东尼奥、洛杉矶等超过450个地点举行。

　　在华盛顿，数万人聚集在国家广场华盛顿纪念碑北侧草坪上，许多人手持或高举标语牌，上面写着“救救孩子们”“保护生命而非枪支”“遏制枪支暴力”“我是下一个吗？”等。

　　“为我们的生命游行”负责人之一特雷文·博斯利在现场发表演讲说，全世界都能听到美国儿童的哭声，但美国部分政客就是充耳不闻。

　　近期，美国发生多起造成严重伤亡的枪击事件。上月24日，一名18岁男性枪手闯入得克萨斯州尤瓦尔迪市罗布小学，杀害19名儿童和两名教师，震惊美国以及国际社会。

　　美国国会众议院近期表决通过一揽子旨在加强枪支监管的法案草案，但因民主党与共和党在控枪问题上分歧严重，舆论普遍担心众议院法案草案难以在参议院推进。

　　美国网站“枪支暴力档案”最新数据显示，今年以来，美国已经发生256起造成至少4人死伤的枪击事件，超过1.9万人因枪支暴力失去生命，包括735名未成年人，其中158人不到12岁。（图片为资料图）",20,51,140,2022/6/12,枪支管控,#今年以来美国超1.9万人死于枪支暴力#,3讨论,82.1万阅读
8,美国侨报网,蓝v,"【#新闻快报# 】控枪赢关键支持！麦康奈尔：对两党框架感到满意
国会参议院少数党领袖麦康奈尔6月14日宣布，他对有关枪支安全的两党框架表示满意，倾向于投票支持反映这一框架的立法。
麦康奈尔的支持预计将大大提高该法案在参议院获得通过的可能性。民主党人需要10位共和党同事的加入才能克服参议院“ ...全文",1,0,0,2022/6/15,枪支管控,#民调显示过半美国人支持立法收紧枪支管控#,23讨论,82.1万阅读
9,直新闻,蓝v,"#民调显示过半美国人支持立法收紧枪支管控#【#民调显示过半美国人盼控枪法律更严#】在美国本月以来发生多起枪支暴力惨案的背景下，美国媒体25日发布的民意调查结果显示，半数以上美国人支持立法收紧枪支管控。#美国社会枪支泛滥致枪击事件频发#

哥伦比亚广播公司新闻部联合舆观调查公司在本月18日至20 ...全文",0,2,1,2022/5/26,枪支管控,#民调显示过半美国人支持立法收紧枪支管控#,23讨论,82.1万阅读
10,观察者网,蓝v,"【#得州州长拒绝加强枪支管控#：看看芝加哥，不卖枪但…】
一场枪击案，让全美的目光聚集到了美国得克萨斯州，枪支的管理问题也再度进入公众视野。但是，得州州长的回应却被普遍认为扯上了“党派之争”。

据美国有线电视新闻网（CNN）5月27日报道，得克萨斯州尤瓦尔迪市小学发生大规模枪击事件后，得 ...全文",24,82,311,2022/5/28,枪支管控,#得州州长拒绝加强枪支管控#,51讨论,118.9万阅读
12,环球时报,蓝v,"【#得州州长拒绝加强枪支管控#：看看芝加哥，不卖枪但…】一场枪击案，让全美的目光聚集到了美国得克萨斯州，枪支的管理问题也再度进入公众视野。但是，得州州长的回应却被普遍认为扯上了“党派之争”。

据美国有线电视新闻网（CNN）5月27日报道，得克萨斯州尤瓦尔迪市小学发生大规模枪击事件后，得州 ...全文",16,63,260,2022/5/28,枪支管控,#得州州长拒绝加强枪支管控#,51讨论,118.9万阅读
13,新京报我们视频,蓝v,【#巴西放宽枪支管控#让“好人”持枪 市民：警察不靠谱只能靠自己】1月15日，巴西总统博索纳罗签署政令放宽枪支管控。博索纳罗称，此举将让守法的好公民们更容易得到枪支，保障其合法自卫权利。2018年巴西发生6万余起凶杀案，是全球最危险的国家之一。世面的秒拍视频 @世面,29,63,165,2019/1/16,枪支管控,#巴西放宽枪支管控#,44讨论,22.7万阅读
