,rid,用户名称,话题名称,微博内容,发布时间,微博转发量,微博评论量,微博点赞,评论内容,评论时间,话题讨论数,话题阅读数,Unnamed: 12,正面,负面,置信度,立场,情感倾向
0,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看守护解放西里面有好多失足的未成年男女啊，指路第三季第二集，14岁的女孩坏了孩子堕胎医院报警，我直接震惊(ΩДΩ),2022-02-10,1732讨论,196.6万阅读,,0.0140457,0.985954,0.968787,0,消极
1,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,可惜男性产假没出台……果然立法都是男性立的,2022-02-10,1732讨论,196.6万阅读,,0.714152,0.285848,0.364782,2,"('积极',)"
2,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,这个话题不对啊，不是禁止堕胎。,2022-02-10,1732讨论,196.6万阅读,,0.0055932,0.994407,0.987571,0,消极
3,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,禁止堕胎不能保证胎儿顺利生下，只会让一些人铤而走险选择地下手术，在不想生育的时间生了不想生的孩子，就像你说的残疾胎儿，只会出现弃婴等更多的社会问题。你可以让一个女人生下孩子，但是你不能让她成为一个好母亲。,2022-03-08,1732讨论,196.6万阅读,,0.003515,0.996485,0.992189,0,消极
4,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,生育的死亡率是高于堕胎的死亡率的 难道仅仅是生育自由的问题吗？,2022-03-08,1732讨论,196.6万阅读,,0.0782135,0.921787,0.826192,0,消极
5,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,堕胎和醉酒一样？是男的开车还是女的开车？到底是谁在承担责任？,2022-03-08,1732讨论,196.6万阅读,,0.070034,0.929966,0.844369,0,消极
6,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,在这方面，买单的永远是女人,2022-02-17,1732讨论,196.6万阅读,,0.406685,0.593315,0.0962551,0,消极
7,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,换一个角度来说，这种禁止堕胎在女性受教育越来越高的时代下，可能产生的反作用更大。也就是说，越来越多的女性会拒绝婚姻甚至拒绝与男性的性生活。,2022-02-17,1732讨论,196.6万阅读,,0.00407407,0.995926,0.990946,0,消极
8,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,以现在法律对于妇女的保护来说，禁止堕胎无疑是将女性推入了更危险的境地。性教育普及率太低，未成年少女被侵犯能否被保护？婚内暴力和强迫怎么办？避孕失败跟酒后应负法律责任当然不一样。而且与其去考虑一个胎儿（甚至未成行）有没有人权，不如考虑一个成年甚至未成年女性的人权是否被保障了。,2022-02-17,1732讨论,196.6万阅读,,0.000137713,0.999862,0.999694,0,消极
9,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,提倡男性产假，至少3个月！好好照顾小孩老婆！,2022-02-16,1732讨论,196.6万阅读,,0.983803,0.016197,0.964007,2,"('积极',)"
10,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男的最多出钱，女孩可能要改变人生走向了,2022-02-16,1732讨论,196.6万阅读,,0.0364344,0.963566,0.919035,0,消极
11,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,让女孩受到伤害的男孩才应该买单,2022-02-16,1732讨论,196.6万阅读,,0.00279036,0.99721,0.993799,0,消极
12,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,反正男女怎么着都是被资本剥削,2022-02-16,1732讨论,196.6万阅读,,0.00110289,0.998897,0.997549,0,消极
13,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,确实 还是支持男性休产假的 体会带孩子的哭,2022-02-16,1732讨论,196.6万阅读,,0.967932,0.032068,0.928738,2,"('积极',)"
14,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男女同休产假对大家都有好处啊，这样女性因为生育一类的假期所面临的性别歧视要小很多，工作分摊到女性身上，男性工作压力也能减小,2022-02-16,1732讨论,196.6万阅读,,0.851371,0.148629,0.669714,2,"('积极',)"
15,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,违背人权,2022-02-16,1732讨论,196.6万阅读,,0.0534698,0.94653,0.881178,0,消极
16,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,14岁未成年。男方涉嫌强奸罪。当然要报警。,2022-02-16,1732讨论,196.6万阅读,,0.000585653,0.999414,0.998699,0,消极
17,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,欺负女孩年少无知的人应该收到惩戒,2022-02-16,1732讨论,196.6万阅读,,0.0012629,0.998737,0.997194,0,消极
18,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男性没有产假，被剥削的可能性都比女性大,2022-02-16,1732讨论,196.6万阅读,,0.0155874,0.984413,0.965361,0,消极
19,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男性休产假一样被公司剥削 不休的猝死的少吗,2022-02-16,1732讨论,196.6万阅读,,0.0171893,0.982811,0.961802,0,消极
20,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,男性产假可以不休，女性一旦发生是不可能的,2022-02-16,1732讨论,196.6万阅读,,0.124534,0.875466,0.723257,0,消极
21,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,关键警方问她孩子爸爸是谁她都没说对,2022-02-16,1732讨论,196.6万阅读,,0.00482665,0.995173,0.989274,0,消极
22,1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,刑法第二百三十六条,2022-02-16,1732讨论,196.6万阅读,,0.64224,0.35776,0.204978,2,"('积极',)"
