rid,用户名称,话题名称,微博内容,发布时间,微博转发量,微博评论量,微博点赞,评论内容,评论时间,话题讨论数,话题阅读数,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,看守护解放西里面有好多失足的未成年男女啊，指路第三季第二集，14岁的女孩坏了孩子堕胎医院报警，我直接震惊(ΩДΩ),02月10日 11:18,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,可惜男性产假没出台……果然立法都是男性立的,02月10日 12:18,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,这个话题不对啊，不是禁止堕胎。,02月10日 11:14,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,禁止堕胎不能保证胎儿顺利生下，只会让一些人铤而走险选择地下手术，在不想生育的时间生了不想生的孩子，就像你说的残疾胎儿，只会出现弃婴等更多的社会问题。你可以让一个女人生下孩子，但是你不能让她成为一个好母亲。,03月08日 19:53,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,生育的死亡率是高于堕胎的死亡率的 难道仅仅是生育自由的问题吗？,03月08日 19:47,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,堕胎和醉酒一样？是男的开车还是女的开车？到底是谁在承担责任？,03月08日 19:43,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,在这方面，买单的永远是女人,02月17日 08:47,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,换一个角度来说，这种禁止堕胎在女性受教育越来越高的时代下，可能产生的反作用更大。也就是说，越来越多的女性会拒绝婚姻甚至拒绝与男性的性生活。,02月17日 05:47,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,以现在法律对于妇女的保护来说，禁止堕胎无疑是将女性推入了更危险的境地。性教育普及率太低，未成年少女被侵犯能否被保护？婚内暴力和强迫怎么办？避孕失败跟酒后应负法律责任当然不一样。而且与其去考虑一个胎儿（甚至未成行）有没有人权，不如考虑一个成年甚至未成年女性的人权是否被保障了。,02月17日 05:42,1732讨论,196.6万阅读,
1,易胜华律师,#禁止堕胎#,"#禁止堕胎#

预言灵验了…… ",2022/2/10,42,76,1077,提倡男性产假，至少3个月！好好照顾小孩老婆！,02月16日 19:19,1732讨论,196.6万阅读,
